Geography,Gender,Age,Balance,NumOfProducts,Exited
Germany,Male,32.0,122552.51,1,0
Germany,Female,36.0,138178.41,2,0
Germany,Female,33.0,142400.28,3,1
Germany,Female,40.0,109308.79,1,0
Germany,Male,54.0,126444.08,1,1
Germany,Male,46.0,133964.3,1,1
Germany,Female,37.0,136825.34,2,0
Germany,Male,27.0,94684.27,2,0
Germany,Female,51.0,107494.86,2,1
Germany,Male,48.0,122550.03,1,0
Germany,Female,32.0,131344.52,1,0
Germany,Female,60.0,123378.2,1,1
Germany,Male,32.0,125827.35,1,0
Germany,Female,47.0,127924.25,1,1
Germany,Female,47.0,118448.15,1,1
Germany,Female,44.0,119657.53,1,0
Germany,Male,45.0,140576.11,1,1
Germany,Male,48.0,81076.8,2,0
Germany,Female,37.0,64740.12,2,0
Germany,Male,40.0,88827.53,2,0
Germany,Female,32.0,162390.52,2,0
Germany,Male,39.0,142263.45,1,0
Germany,Female,44.0,126147.84,1,0
Germany,Female,48.0,84315.02,2,0
Germany,Female,40.0,111871.93,1,0
Germany,Female,36.0,128743.8,1,1
Germany,Female,54.0,74812.84,1,1
Germany,Male,27.0,91718.2,2,0
Germany,Male,48.0,123070.89,1,1
Germany,Female,36.0,152264.81,1,1
Germany,Female,45.0,114450.58,1,1
Germany,Male,37.0,119852.01,1,0
Germany,Male,34.0,134740.24,1,0
Germany,Male,29.0,122265.24,2,0
Germany,Male,30.0,143903.56,2,0
Germany,Female,41.0,127763.24,1,1
Germany,Female,47.0,108235.91,1,1
Germany,Female,29.0,81732.46,1,0
Germany,Female,45.0,78892.08,1,1
Germany,Female,29.0,85906.65,1,0
Germany,Male,42.0,110463.25,2,0
Germany,Male,24.0,76548.6,2,0
Germany,Female,24.0,103034.56,2,0
Germany,Female,28.0,117300.24,1,0
Germany,Female,33.0,126823.21,2,1
Germany,Female,51.0,75801.74,1,1
Germany,Male,49.0,76656.4,2,0
Germany,Male,48.0,160903.2,2,1
Germany,Female,47.0,129832.58,2,0
Germany,Female,41.0,142296.13,1,0
Germany,Male,22.0,119655.77,1,0
Germany,Male,50.0,116494.22,1,0
Germany,Female,50.0,88379.81,3,1
Germany,Male,31.0,116822.21,1,0
Germany,Male,58.0,84327.77,2,0
Germany,Female,39.0,102721.49,2,1
Germany,Male,28.0,115007.08,1,0
Germany,Male,39.0,130969.77,2,0
Germany,Female,40.0,114737.26,3,1
Germany,Female,36.0,115557.0,2,0
Germany,Female,45.0,114753.76,2,0
Germany,Male,35.0,82547.26,1,0
Germany,Female,45.0,123374.46,1,1
Germany,Male,51.0,91091.52,2,1
Germany,Male,44.0,127269.75,1,0
Germany,Female,27.0,117561.06,1,0
Germany,Female,39.0,121763.66,1,0
Germany,Male,46.0,90373.28,1,0
Germany,Male,39.0,102945.01,2,0
Germany,Male,39.0,123764.96,2,0
Germany,Male,32.0,114510.85,1,1
Germany,Female,46.0,141806.0,2,1
Germany,Male,33.0,123783.25,1,0
Germany,Male,44.0,105934.96,2,0
Germany,Female,24.0,102882.47,1,1
Germany,Female,30.0,86053.52,2,0
Germany,Female,40.0,109786.82,2,1
Germany,Female,38.0,98640.01,1,0
Germany,Male,44.0,135120.56,2,0
Germany,Male,36.0,109062.28,1,0
Germany,Male,36.0,153972.96,2,0
Germany,Female,49.0,130142.79,1,1
Germany,Female,34.0,73023.18,2,0
Germany,Female,37.0,120568.41,1,0
Germany,Male,38.0,113635.16,2,0
Germany,Male,48.0,108586.86,1,1
Germany,Female,50.0,108650.74,3,1
Germany,Female,37.0,166594.78,2,0
Germany,Male,50.0,114327.59,1,1
Germany,Female,45.0,132746.2,2,0
Germany,Male,57.0,101675.22,1,0
Germany,Male,40.0,139022.24,1,0
Germany,Female,37.0,147137.74,1,1
Germany,Male,61.0,146605.27,1,1
Germany,Female,52.0,130024.87,1,1
Germany,Male,34.0,125701.72,1,1
Germany,Male,41.0,178053.5,1,1
Germany,Female,30.0,137456.07,1,0
Germany,Female,34.0,96019.33,1,0
Germany,Male,34.0,103481.47,1,1
Germany,Male,42.0,150133.88,2,0
Germany,Male,32.0,180515.83,1,1
Germany,Male,30.0,105229.53,2,0
Germany,Male,34.0,111589.33,1,0
Germany,Male,22.0,154737.56,2,0
Germany,Female,44.0,84474.62,2,0
Germany,Male,49.0,113722.47,1,1
Germany,Male,40.0,102882.4,2,1
Germany,Male,43.0,132615.73,2,0
Germany,Female,39.0,122446.61,1,0
Germany,Male,50.0,142475.81,1,1
Germany,Male,45.0,135827.33,2,0
Germany,Female,56.0,131434.98,1,1
Germany,Female,29.0,131082.17,2,0
Germany,Male,28.0,106901.42,3,1
Germany,Female,30.0,124495.57,1,0
Germany,Female,46.0,121581.56,1,1
Germany,Female,35.0,124577.23,2,0
Germany,Male,39.0,143903.11,2,0
Germany,Female,35.0,118569.03,1,0
Germany,Female,31.0,116244.14,2,0
Germany,Male,50.0,116622.73,1,1
Germany,Male,55.0,106807.64,1,1
Germany,Male,28.0,135650.82,1,0
Germany,Female,26.0,96553.52,2,1
Germany,Female,35.0,121263.62,2,0
Germany,Female,41.0,143966.3,2,0
Germany,Female,36.0,120656.86,4,1
Germany,Male,46.0,139914.6,1,1
Germany,Female,46.0,139979.07,1,1
Germany,Male,46.0,85906.55,1,0
Germany,Male,48.0,142400.27,1,1
Germany,Male,38.0,178787.54,1,0
Germany,Female,38.0,102238.51,2,0
Germany,Male,37.0,109387.9,1,0
Germany,Female,22.0,106756.01,1,1
Germany,Male,39.0,123328.15,1,0
Germany,Female,45.0,83765.35,1,0
Germany,Female,45.0,121874.89,1,1
Germany,Male,33.0,109341.87,1,0
Germany,Male,28.0,115074.02,1,0
Germany,Female,59.0,164011.48,2,0
Germany,Female,38.0,106376.85,1,1
Germany,Female,25.0,150355.35,2,0
Germany,Female,37.0,129667.77,2,0
Germany,Female,55.0,123601.56,1,0
Germany,Female,33.0,103033.38,2,0
Germany,Male,35.0,127561.51,1,0
Germany,Female,46.0,117325.23,2,0
Germany,Female,41.0,122501.28,2,0
Germany,Female,42.0,108286.5,1,1
Germany,Male,33.0,126674.81,2,0
Germany,Female,35.0,136855.82,2,0
Germany,Female,28.0,104508.58,2,0
Germany,Female,32.0,145330.43,1,1
Germany,Male,31.0,132914.7,1,0
Germany,Male,39.0,97720.27,2,0
Germany,Male,38.0,102773.2,1,0
Germany,Female,35.0,144450.61,1,0
Germany,Male,48.0,133060.54,1,1
Germany,Female,22.0,132057.92,2,0
Germany,Male,32.0,109052.28,1,0
Germany,Male,43.0,116520.24,2,1
Germany,Male,42.0,0.0,3,1
Germany,Male,35.0,102143.93,1,0
Germany,Female,32.0,93547.94,1,0
Germany,Male,31.0,100249.69,2,0
Germany,Male,48.0,103516.87,1,1
Germany,Male,29.0,134944.0,2,0
Germany,Female,35.0,96763.45,1,1
Germany,Female,51.0,113833.74,1,1
Germany,Female,68.0,133845.01,1,1
Germany,Female,48.0,122449.37,1,1
Germany,Male,36.0,113882.31,1,1
Germany,Female,34.0,84906.67,2,0
Germany,Female,48.0,110463.25,1,1
Germany,Female,43.0,127132.96,1,1
Germany,Male,24.0,114822.37,2,0
Germany,Female,58.0,138333.04,1,1
Germany,Female,37.0,115280.49,2,0
Germany,Male,33.0,118064.93,1,0
Germany,Male,49.0,123428.2,2,1
Germany,Male,41.0,142406.43,1,1
Germany,Male,41.0,107980.37,1,0
Germany,Female,39.0,134874.4,2,1
Germany,Female,41.0,111363.1,2,0
Germany,Male,33.0,94661.53,2,0
Germany,Male,34.0,102525.11,2,0
Germany,Male,43.0,110182.54,2,0
Germany,Female,42.0,129118.5,1,1
Germany,Male,38.0,129745.3,1,0
Germany,Male,54.0,125734.2,1,1
Germany,Male,43.0,106901.42,1,0
Germany,Male,34.0,132405.52,1,0
Germany,Male,52.0,94435.96,1,1
Germany,Male,46.0,133070.11,4,1
Germany,Male,35.0,109908.06,2,1
Germany,Male,30.0,131778.76,2,0
Germany,Female,31.0,92895.56,1,0
Germany,Female,25.0,103522.15,1,1
Germany,Female,24.0,95675.62,2,0
Germany,Male,34.0,162691.16,1,0
Germany,Female,26.0,146774.73,1,1
Germany,Male,36.0,162691.16,3,1
Germany,Female,31.0,141210.99,1,0
Germany,Male,62.0,114327.3,1,1
Germany,Male,43.0,111962.99,1,1
Germany,Female,45.0,116917.07,1,1
Germany,Male,46.0,105245.21,2,0
Germany,Male,43.0,165048.5,3,0
Germany,Female,49.0,136678.52,1,1
Germany,Male,25.0,127760.07,1,0
Germany,Female,60.0,106901.44,1,1
Germany,Male,29.0,106431.94,1,0
Germany,Male,31.0,169831.46,2,0
Germany,Female,37.0,121801.72,2,0
Germany,Female,43.0,138032.36,2,0
Germany,Female,32.0,100238.7,1,0
Germany,Male,51.0,69413.47,2,1
Germany,Female,33.0,137963.07,1,1
Germany,Female,37.0,109974.22,1,1
Germany,Male,26.0,142871.11,1,0
Germany,Male,30.0,142703.4,2,0
Germany,Female,47.0,121629.42,2,0
Germany,Male,26.0,124775.33,2,0
Germany,Female,23.0,127289.28,1,0
Germany,Male,32.0,131240.37,2,0
Germany,Male,36.0,76968.12,1,0
Germany,Male,49.0,110349.47,1,1
Germany,Female,23.0,131344.52,1,1
Germany,Male,32.0,117578.35,2,0
Germany,Male,31.0,123871.2,1,1
Germany,Male,39.0,50880.98,2,0
Germany,Male,37.0,100260.88,2,0
Germany,Female,54.0,90212.0,1,1
Germany,Male,45.0,70291.02,1,1
Germany,Male,55.0,115796.7,1,0
Germany,Male,50.0,125437.14,2,0
Germany,Female,32.0,132187.73,2,0
Germany,Female,38.0,148897.02,1,1
Germany,Female,36.0,154767.23,2,0
Germany,Female,45.0,80790.97,1,1
Germany,Male,35.0,141404.64,2,0
Germany,Male,60.0,133636.16,1,1
Germany,Male,35.0,123407.69,1,1
Germany,Female,49.0,83049.65,1,1
Germany,Female,56.0,104678.86,1,1
Germany,Female,37.0,112146.12,1,1
Germany,Male,42.0,135413.43,2,0
Germany,Male,32.0,139756.5,2,0
Germany,Female,31.0,138089.97,1,0
Germany,Female,41.0,68639.57,2,0
Germany,Female,40.0,97588.6,1,1
Germany,Female,27.0,117438.74,2,0
Germany,Female,29.0,139887.01,2,0
Germany,Male,58.0,125850.53,2,1
Germany,Male,50.0,119349.69,3,1
Germany,Female,28.0,109421.13,1,1
Germany,Male,35.0,85906.65,2,0
Germany,Male,35.0,106518.52,2,0
Germany,Male,37.0,118449.66,1,0
Germany,Male,56.0,139603.22,1,1
Germany,Female,54.0,114391.62,1,1
Germany,Female,31.0,93817.38,1,0
Germany,Male,32.0,138053.67,2,0
Germany,Female,58.0,161802.27,1,1
Germany,Female,50.0,113957.01,2,1
Germany,Male,39.0,132287.92,2,0
Germany,Male,23.0,137060.88,1,0
Germany,Male,39.0,91830.0,2,0
Germany,Female,39.0,99282.66,2,0
Germany,Female,30.0,129269.27,1,1
Germany,Male,32.0,152541.25,2,0
Germany,Female,36.0,131406.56,1,0
Germany,Male,32.0,114754.08,1,1
Germany,Female,28.0,139986.65,1,0
Germany,Female,43.0,95984.21,4,1
Germany,Female,37.0,120961.5,2,1
Germany,Female,21.0,88363.42,1,0
Germany,Female,32.0,125920.72,2,0
Germany,Male,40.0,118889.06,2,0
Germany,Female,38.0,131927.33,2,0
Germany,Female,53.0,133618.01,1,1
Germany,Male,51.0,144755.81,1,1
Germany,Male,49.0,127761.35,1,1
Germany,Male,39.0,118815.35,2,1
Germany,Female,37.0,104414.98,1,0
Germany,Female,35.0,124576.65,2,0
Germany,Male,42.0,108748.08,1,0
Germany,Female,40.0,76665.71,1,0
Germany,Female,51.0,63763.23,3,1
Germany,Male,43.0,152390.21,2,0
Germany,Female,40.0,148495.64,2,1
Germany,Male,57.0,113522.43,1,1
Germany,Male,56.0,108711.57,1,1
Germany,Male,42.0,113657.41,1,1
Germany,Female,40.0,86957.21,1,1
Germany,Male,37.0,113865.21,1,1
Germany,Female,24.0,103099.17,2,0
Germany,Male,32.0,113090.4,2,0
Germany,Male,51.0,107714.74,2,0
Germany,Female,29.0,106937.06,1,0
Germany,Female,42.0,134740.24,1,1
Germany,Male,36.0,131284.66,2,0
Germany,Female,40.0,127560.54,2,1
Germany,Male,52.0,139592.98,3,1
Germany,Female,36.0,59893.85,2,0
Germany,Male,30.0,151027.05,2,0
Germany,Male,39.0,164701.68,1,1
Germany,Male,33.0,148042.97,1,0
Germany,Male,54.0,147973.33,1,1
Germany,Female,41.0,96863.13,1,1
Germany,Female,33.0,129668.43,2,0
Germany,Male,49.0,122388.38,2,0
Germany,Male,35.0,107769.42,1,1
Germany,Female,41.0,153590.73,2,0
Germany,Male,35.0,133377.8,2,0
Germany,Female,28.0,111827.09,2,0
Germany,Female,42.0,132726.55,3,1
Germany,Female,40.0,139973.65,2,1
Germany,Male,37.0,124425.99,1,0
Germany,Female,43.0,116968.91,1,1
Germany,Female,33.0,117183.74,1,1
Germany,Male,42.0,132403.42,1,1
Germany,Male,61.0,117633.63,1,1
Germany,Female,50.0,115290.31,2,0
Germany,Female,37.0,146748.07,2,0
Germany,Female,41.0,123544.0,1,1
Germany,Male,62.0,98854.34,1,0
Germany,Female,35.0,132253.22,1,0
Germany,Female,43.0,146547.78,1,0
Germany,Female,38.0,115587.52,2,0
Germany,Male,32.0,144953.31,1,0
Germany,Male,40.0,152576.25,2,0
Germany,Male,36.0,129974.79,1,1
Germany,Female,35.0,96462.59,2,0
Germany,Male,34.0,95167.55,1,0
Germany,Male,45.0,108924.33,1,0
Germany,Female,61.0,109166.37,1,0
Germany,Male,38.0,141796.52,2,0
Germany,Male,48.0,103711.63,1,0
Germany,Female,33.0,119413.62,2,0
Germany,Female,46.0,93616.35,3,1
Germany,Male,40.0,109196.66,3,1
Germany,Male,44.0,71497.79,2,0
Germany,Male,41.0,121205.09,1,0
Germany,Male,24.0,128914.17,2,0
Germany,Female,34.0,142396.14,2,0
Germany,Male,48.0,133658.24,1,1
Germany,Female,43.0,115713.84,1,0
Germany,Male,44.0,71460.67,1,0
Germany,Male,41.0,152827.99,2,1
Germany,Male,32.0,179904.0,2,0
Germany,Female,52.0,139496.35,1,0
Germany,Female,52.0,127845.83,1,1
Germany,Male,40.0,128653.87,1,0
Germany,Male,38.0,109342.82,2,0
Germany,Male,42.0,103769.22,1,1
Germany,Male,46.0,121063.85,2,1
Germany,Male,28.0,164858.18,1,0
Germany,Female,44.0,142703.4,1,1
Germany,Male,26.0,111183.53,2,0
Germany,Male,41.0,156687.1,1,0
Germany,Male,57.0,104091.41,1,1
Germany,Male,40.0,96926.12,2,0
Germany,Male,41.0,108377.75,1,0
Germany,Male,33.0,119688.81,2,0
Germany,Male,35.0,108269.2,1,0
Germany,Male,26.0,81811.71,2,0
Germany,Male,44.0,99097.89,1,1
Germany,Female,25.0,129835.26,1,0
Germany,Female,35.0,117212.18,1,0
Germany,Male,41.0,132667.77,2,0
Germany,Female,36.0,112957.91,2,0
Germany,Male,29.0,133901.79,1,0
Germany,Female,44.0,113865.83,1,1
Germany,Female,30.0,119948.09,2,0
Germany,Male,33.0,117458.51,2,0
Germany,Male,38.0,124427.96,2,0
Germany,Female,51.0,134796.87,2,0
Germany,Male,34.0,120596.32,1,0
Germany,Male,30.0,147493.07,1,1
Germany,Female,23.0,138825.07,1,0
Germany,Female,40.0,89175.06,1,0
Germany,Male,43.0,163714.52,1,0
Germany,Female,43.0,127655.22,1,1
Germany,Male,46.0,89743.05,1,1
Germany,Female,40.0,127631.62,2,0
Germany,Male,35.0,99967.76,1,0
Germany,Male,40.0,124596.95,3,1
Germany,Female,29.0,126679.69,1,0
Germany,Female,45.0,98799.13,1,0
Germany,Male,33.0,154741.45,2,0
Germany,Female,48.0,122453.97,3,1
Germany,Male,41.0,113270.2,2,0
Germany,Male,34.0,131082.17,2,0
Germany,Male,35.0,161691.57,1,1
Germany,Female,40.0,141796.43,1,1
Germany,Male,40.0,99282.63,1,0
Germany,Female,53.0,141616.55,2,0
Germany,Female,38.0,162888.73,1,1
Germany,Female,40.0,166948.67,1,1
Germany,Male,42.0,119496.87,1,0
Germany,Male,40.0,114446.84,2,1
Germany,Male,39.0,116324.31,1,0
Germany,Female,43.0,106536.54,1,1
Germany,Female,52.0,123911.58,1,1
Germany,Female,51.0,113599.67,1,1
Germany,Female,43.0,117034.32,1,1
Germany,Female,58.0,127843.24,1,1
Germany,Female,38.0,124616.31,2,0
Germany,Male,37.0,153360.46,2,0
Germany,Male,40.0,129964.55,1,1
Germany,Male,28.0,151659.52,2,0
Germany,Male,33.0,142871.27,2,0
Germany,Male,33.0,115350.63,1,0
Germany,Male,35.0,149961.61,1,0
Germany,Male,43.0,141243.53,1,1
Germany,Male,26.0,116722.8,1,0
Germany,Female,32.0,138052.53,1,0
Germany,Female,52.0,143966.3,1,1
Germany,Female,43.0,143934.96,2,1
Germany,Female,39.0,160982.89,1,1
Germany,Female,44.0,97585.32,2,0
Germany,Male,38.0,87541.08,1,0
Germany,Female,41.0,152958.29,2,0
Germany,Female,51.0,102729.55,1,1
Germany,Female,27.0,123599.49,1,0
Germany,Female,31.0,97990.49,2,0
Germany,Female,29.0,156848.41,1,1
Germany,Female,49.0,94753.55,2,0
Germany,Female,30.0,120731.39,2,0
Germany,Male,45.0,107135.04,2,0
Germany,Male,29.0,113923.81,2,0
Germany,Male,43.0,121890.43,1,1
Germany,Female,35.0,128760.32,1,0
Germany,Male,35.0,102238.01,1,0
Germany,Male,42.0,94464.81,2,1
Germany,Male,22.0,152076.93,1,0
Germany,Female,37.0,141546.68,1,0
Germany,Male,41.0,103599.86,2,0
Germany,Female,43.0,133379.41,1,0
Germany,Male,43.0,93833.86,1,1
Germany,Male,36.0,139246.22,2,1
Germany,Female,38.0,144287.6,2,0
Germany,Male,28.0,86915.41,1,0
Germany,Male,33.0,150900.29,2,0
Germany,Male,29.0,161591.11,1,0
Germany,Male,35.0,132647.66,2,0
Germany,Female,62.0,80780.16,1,1
Germany,Male,32.0,162657.64,2,0
Germany,Male,44.0,106804.26,2,0
Germany,Male,51.0,107959.39,1,1
Germany,Female,26.0,148055.63,1,1
Germany,Male,32.0,148884.47,2,0
Germany,Male,34.0,121626.9,1,0
Germany,Male,45.0,131156.76,2,0
Germany,Male,44.0,152039.6,1,1
Germany,Female,32.0,133245.52,2,0
Germany,Female,45.0,115587.49,3,1
Germany,Female,37.0,116968.91,1,0
Germany,Female,43.0,131078.52,2,1
Germany,Female,43.0,102989.83,1,1
Germany,Female,47.0,115545.62,1,1
Germany,Male,40.0,118772.71,1,0
Germany,Male,29.0,121151.06,2,0
Germany,Male,35.0,147545.72,1,0
Germany,Male,27.0,139959.01,2,0
Germany,Female,33.0,139914.17,2,0
Germany,Male,58.0,72309.3,2,0
Germany,Male,38.0,125552.63,1,0
Germany,Male,29.0,111092.85,2,0
Germany,Male,48.0,144677.09,1,1
Germany,Female,32.0,92466.21,1,0
Germany,Male,25.0,175214.71,1,0
Germany,Female,32.0,141431.76,1,0
Germany,Male,35.0,113948.57,1,0
Germany,Female,30.0,71481.79,1,0
Germany,Male,29.0,81637.16,1,0
Germany,Female,43.0,132876.55,2,0
Germany,Male,46.0,120198.42,1,1
Germany,Female,33.0,108908.73,2,0
Germany,Male,44.0,113923.32,1,1
Germany,Male,40.0,136622.55,1,1
Germany,Female,53.0,114430.18,2,0
Germany,Male,30.0,141787.31,2,0
Germany,Male,44.0,113674.2,2,0
Germany,Female,32.0,111543.26,2,0
Germany,Male,38.0,135157.05,1,0
Germany,Female,39.0,152182.83,3,1
Germany,Male,35.0,121240.09,2,0
Germany,Male,43.0,90218.9,1,1
Germany,Female,46.0,146566.01,2,0
Germany,Male,37.0,106301.85,2,0
Germany,Female,46.0,136444.25,2,1
Germany,Male,47.0,138076.47,1,0
Germany,Female,40.0,137933.09,2,0
Germany,Female,56.0,154737.96,1,1
Germany,Female,49.0,124043.8,1,1
Germany,Female,60.0,102500.34,1,1
Germany,Male,38.0,106922.92,2,0
Germany,Female,37.0,76665.71,2,0
Germany,Male,54.0,124577.33,2,1
Germany,Male,36.0,142905.51,1,1
Germany,Female,32.0,79450.09,1,0
Germany,Female,35.0,111827.27,2,1
Germany,Female,30.0,109941.51,1,0
Germany,Male,36.0,62400.29,2,0
Germany,Female,59.0,152581.06,2,0
Germany,Male,41.0,98173.02,2,0
Germany,Male,33.0,131899.0,2,0
Germany,Male,24.0,81682.57,1,0
Germany,Male,35.0,102749.54,1,0
Germany,Male,34.0,151709.33,2,0
Germany,Female,64.0,121063.85,1,1
Germany,Female,46.0,109166.56,1,1
Germany,Female,59.0,95727.05,1,0
Germany,Male,43.0,104469.43,2,1
Germany,Female,44.0,119496.22,1,1
Germany,Female,33.0,81231.85,2,0
Germany,Male,45.0,128743.55,2,0
Germany,Female,47.0,118087.68,1,1
Germany,Male,39.0,99564.22,2,1
Germany,Male,38.0,118520.92,1,1
Germany,Male,27.0,105417.43,2,0
Germany,Male,32.0,114737.43,2,1
Germany,Female,36.0,121250.04,1,0
Germany,Female,36.0,108019.27,1,1
Germany,Female,35.0,72535.45,1,0
Germany,Female,36.0,100727.5,1,0
Germany,Male,34.0,132944.52,1,0
Germany,Male,49.0,62482.95,1,1
Germany,Male,41.0,108965.8,1,0
Germany,Male,44.0,161460.43,1,0
Germany,Female,39.0,134593.23,2,0
Germany,Male,40.0,133845.36,1,0
Germany,Male,42.0,165312.72,2,0
Germany,Male,37.0,122528.68,2,0
Germany,Male,36.0,141827.33,2,0
Germany,Male,33.0,143870.28,1,0
Germany,Male,30.0,109196.66,3,0
Germany,Male,39.0,142406.43,1,1
Germany,Male,26.0,113348.58,1,0
Germany,Male,56.0,97925.02,2,1
Germany,Male,54.0,125023.1,1,1
Germany,Male,34.0,125961.74,1,0
Germany,Female,40.0,99165.84,1,0
Germany,Male,35.0,138875.31,2,0
Germany,Male,22.0,137510.41,1,0
Germany,Female,33.0,125167.05,2,1
Germany,Female,33.0,96734.71,2,0
Germany,Female,27.0,152086.15,1,0
Germany,Male,33.0,125847.71,2,0
Germany,Male,30.0,119695.75,1,0
Germany,Female,34.0,103821.47,3,1
Germany,Male,30.0,131647.01,2,0
Germany,Female,39.0,122552.34,2,0
Germany,Female,35.0,118199.97,2,0
Germany,Male,44.0,141136.79,1,0
Germany,Female,42.0,118636.92,1,1
Germany,Female,62.0,121874.89,1,1
Germany,Female,44.0,161798.53,1,0
Germany,Female,43.0,110822.9,1,1
