Geography,Gender,Age,Balance,NumOfProducts,Exited
France,Female,30.0,0.0,2,0
France,Female,38.0,141581.08,1,0
France,Male,31.0,0.0,2,0
France,Female,44.0,128747.69,1,0
France,Female,43.0,0.0,2,0
France,Male,32.0,120108.76,1,0
France,Female,33.0,83036.05,1,1
France,Male,44.0,80958.36,1,0
France,Male,32.0,0.0,1,0
France,Female,36.0,0.0,1,0
France,Male,37.0,0.0,2,0
France,Male,38.0,0.0,2,0
France,Male,43.0,100013.51,2,0
France,Female,30.0,0.0,2,0
France,Male,42.0,0.0,1,1
France,Male,33.0,93580.32,1,0
France,Male,32.0,0.0,1,0
France,Male,26.0,0.0,1,0
France,Male,58.0,89685.92,2,0
France,Female,56.0,0.0,1,1
France,Male,40.0,0.0,2,0
France,Male,37.0,0.0,2,0
France,Male,37.0,0.0,2,0
France,Female,27.0,0.0,2,0
France,Male,43.0,0.0,2,0
France,Male,40.0,124043.0,1,0
France,Male,25.0,0.0,2,0
France,Male,33.0,182888.08,1,1
France,Female,40.0,0.0,2,0
France,Female,29.0,89349.47,2,0
France,Female,32.0,0.0,2,0
France,Male,20.0,0.0,2,0
France,Female,32.0,0.0,2,0
France,Male,35.0,0.0,3,0
France,Male,30.0,0.0,2,0
France,Female,31.0,0.0,2,0
France,Female,41.0,0.0,2,0
France,Male,26.0,136924.26,1,0
France,Male,33.0,0.0,2,0
France,Female,38.0,0.0,2,0
France,Male,26.0,129118.5,1,0
France,Male,32.0,0.0,2,0
France,Male,31.0,0.0,2,0
France,Male,31.0,138705.02,1,0
France,Male,41.0,148874.68,1,0
France,Male,47.0,0.0,1,1
France,Female,42.0,0.0,2,0
France,Male,36.0,0.0,2,0
France,Female,62.0,0.0,1,1
France,Male,29.0,142703.4,1,0
France,Male,41.0,0.0,2,0
France,Female,32.0,0.0,1,1
France,Female,35.0,123873.23,1,0
France,Male,38.0,0.0,2,1
France,Male,22.0,0.0,2,0
France,Male,44.0,0.0,2,0
France,Female,25.0,0.0,2,0
France,Male,40.0,0.0,2,0
France,Male,34.0,0.0,1,0
France,Male,40.0,0.0,2,0
France,Female,28.0,142644.64,1,0
France,Male,25.0,0.0,1,0
France,Female,28.0,0.0,2,0
France,Female,32.0,0.0,2,0
France,Male,37.0,0.0,2,0
France,Female,33.0,0.0,2,0
France,Female,33.0,0.0,2,0
France,Female,41.0,0.0,2,0
France,Male,29.0,118342.26,2,0
France,Male,38.0,0.0,2,0
France,Female,62.0,0.0,3,1
France,Male,37.0,160541.36,2,0
France,Male,31.0,0.0,1,0
France,Male,36.0,0.0,2,0
France,Female,36.0,0.0,2,0
France,Male,37.0,88915.85,1,0
France,Female,38.0,123974.69,1,0
France,Female,35.0,0.0,2,0
France,Female,66.0,120764.08,1,0
France,Female,35.0,0.0,2,0
France,Male,48.0,0.0,3,1
France,Male,40.0,166034.04,1,0
France,Male,32.0,89047.61,2,0
France,Male,29.0,0.0,2,0
France,Male,35.0,0.0,2,0
France,Male,46.0,98899.76,1,0
France,Female,47.0,114427.86,1,0
France,Male,57.0,114510.57,1,1
France,Male,30.0,0.0,2,0
France,Male,36.0,133889.35,1,0
France,Male,35.0,0.0,1,0
France,Male,36.0,0.0,1,0
France,Female,36.0,0.0,1,0
France,Male,37.0,178755.84,1,0
France,Male,25.0,0.0,2,0
France,Female,39.0,0.0,1,1
France,Female,37.0,0.0,2,0
France,Male,36.0,121359.73,1,0
France,Female,37.0,0.0,2,0
France,Male,31.0,122874.55,2,0
France,Male,30.0,0.0,2,0
France,Female,37.0,0.0,1,0
France,Male,42.0,0.0,2,0
France,Male,29.0,121647.54,1,0
France,Male,27.0,0.0,2,0
France,Female,26.0,0.0,2,0
France,Male,37.0,132767.67,1,0
France,Male,52.0,0.0,2,1
France,Male,39.0,146200.01,2,0
France,Female,46.0,0.0,3,1
France,Male,36.0,0.0,2,0
France,Female,33.0,0.0,2,0
France,Female,46.0,141749.68,1,0
France,Male,34.0,0.0,2,0
France,Male,29.0,0.0,1,0
France,Male,38.0,152210.41,1,0
France,Male,35.0,0.0,2,0
France,Male,38.0,0.0,2,0
France,Female,26.0,0.0,2,0
France,Female,31.0,0.0,2,0
France,Female,30.0,139356.3,1,0
France,Female,25.0,0.0,2,0
France,Male,36.0,89696.84,1,0
France,Female,36.0,0.0,2,0
France,Female,37.0,114737.26,2,1
France,Female,33.0,0.0,2,0
France,Male,45.0,0.0,3,1
France,Female,41.0,105229.53,1,0
France,Male,47.0,95120.59,1,0
France,Male,29.0,121854.45,1,0
France,Male,25.0,0.0,2,0
France,Female,34.0,0.0,2,0
France,Male,41.0,79871.02,1,0
France,Male,37.0,154741.49,1,0
France,Female,32.0,67495.04,2,0
France,Female,30.0,0.0,2,0
France,Male,33.0,0.0,2,0
France,Male,35.0,164701.68,1,0
France,Male,36.0,0.0,2,0
France,Female,35.0,92887.13,1,0
France,Female,38.0,0.0,1,0
France,Male,30.0,0.0,2,0
France,Female,34.0,0.0,2,0
France,Female,48.0,133936.15,1,1
France,Female,53.0,0.0,1,1
France,Male,38.0,116320.88,1,0
France,Male,33.0,0.0,2,0
France,Female,50.0,123070.89,2,0
France,Male,48.0,154409.74,3,1
France,Male,34.0,121063.9,1,0
France,Female,28.0,0.0,2,0
France,Male,53.0,0.0,1,0
France,Female,42.0,137781.65,1,0
France,Female,39.0,0.0,1,0
France,Male,37.0,126589.12,1,0
France,Female,42.0,0.0,2,0
France,Female,56.0,0.0,1,1
France,Male,59.0,0.0,1,0
France,Male,40.0,0.0,2,0
France,Female,49.0,108407.99,1,0
France,Male,42.0,0.0,2,0
France,Female,55.0,0.0,2,0
France,Female,38.0,140720.93,1,0
France,Female,32.0,119278.01,2,0
France,Male,37.0,92896.06,1,0
France,Male,35.0,0.0,2,0
France,Female,39.0,104450.94,1,0
France,Male,49.0,0.0,2,0
France,Male,36.0,0.0,2,0
France,Male,31.0,168085.93,1,0
France,Female,41.0,0.0,2,0
France,Female,40.0,0.0,1,0
France,Female,27.0,0.0,1,0
France,Male,33.0,0.0,2,0
France,Male,39.0,0.0,2,0
France,Male,36.0,0.0,1,1
France,Male,33.0,146266.0,1,0
France,Male,43.0,125860.2,1,0
France,Female,23.0,85915.09,1,0
France,Female,40.0,0.0,1,1
France,Female,35.0,0.0,2,0
France,Male,29.0,0.0,2,0
France,Female,55.0,98488.08,2,0
France,Male,49.0,180614.04,1,0
France,Male,37.0,95858.51,1,0
France,Male,37.0,0.0,3,0
France,Female,43.0,0.0,2,0
France,Female,34.0,0.0,2,0
France,Female,67.0,0.0,2,0
France,Male,45.0,134498.54,1,1
France,Male,37.0,149961.11,1,0
France,Female,29.0,0.0,2,0
France,Female,33.0,145061.73,1,0
France,Male,38.0,0.0,2,0
France,Female,38.0,0.0,2,0
France,Female,36.0,0.0,1,0
France,Male,31.0,0.0,2,0
France,Female,40.0,0.0,2,0
France,Female,36.0,116323.73,1,0
France,Female,37.0,0.0,2,0
France,Female,35.0,0.0,2,0
France,Female,30.0,0.0,2,0
France,Male,33.0,0.0,2,0
France,Female,24.0,0.0,2,0
France,Male,31.0,0.0,1,0
France,Male,27.0,0.0,2,0
France,Female,40.0,0.0,2,0
France,Female,26.0,130428.78,3,1
France,Female,21.0,0.0,2,0
France,Male,31.0,122277.87,1,0
France,Male,35.0,0.0,2,0
France,Male,33.0,126821.68,1,0
France,Female,33.0,0.0,2,0
France,Male,42.0,113939.36,2,0
France,Male,38.0,0.0,1,0
France,Male,34.0,0.0,2,0
France,Female,42.0,0.0,1,1
France,Male,28.0,0.0,2,0
France,Female,40.0,0.0,2,0
France,Male,39.0,0.0,2,0
France,Male,34.0,109472.81,1,0
France,Female,38.0,111098.85,1,0
France,Male,32.0,88915.85,1,0
France,Male,44.0,127536.44,2,0
France,Male,33.0,0.0,2,0
France,Female,35.0,121818.26,1,0
France,Male,48.0,154969.79,1,0
France,Female,29.0,125385.49,1,1
France,Male,34.0,0.0,2,0
France,Female,38.0,0.0,2,0
France,Male,35.0,0.0,1,0
France,Male,28.0,0.0,2,0
France,Male,29.0,0.0,1,0
France,Female,38.0,161807.18,1,0
France,Female,28.0,0.0,2,0
France,Male,33.0,0.0,2,0
France,Male,54.0,0.0,2,0
France,Male,26.0,0.0,1,0
France,Female,32.0,0.0,2,0
France,Male,36.0,132057.92,2,0
France,Male,33.0,148887.06,1,0
France,Female,37.0,116248.88,1,0
France,Female,40.0,0.0,2,0
France,Female,39.0,160903.2,2,0
France,Male,44.0,98635.77,1,0
France,Female,34.0,0.0,2,0
France,Female,33.0,0.0,1,0
France,Male,34.0,0.0,2,0
France,Male,36.0,0.0,1,1
France,Male,43.0,71063.94,1,0
France,Female,29.0,0.0,1,1
France,Male,37.0,0.0,2,0
France,Female,29.0,0.0,1,0
France,Male,43.0,0.0,1,1
France,Male,43.0,0.0,2,0
France,Male,32.0,0.0,2,0
France,Female,32.0,0.0,2,0
France,Male,51.0,0.0,2,1
France,Female,40.0,76651.11,2,0
France,Male,38.0,0.0,1,0
France,Female,40.0,109848.6,1,0
France,Female,35.0,102768.91,1,0
France,Male,32.0,0.0,2,0
France,Female,26.0,66573.17,1,0
France,Male,48.0,0.0,2,0
France,Male,29.0,0.0,2,0
France,Female,31.0,123379.43,1,0
France,Female,27.0,0.0,1,0
France,Female,43.0,0.0,1,0
France,Female,40.0,0.0,1,1
France,Female,26.0,0.0,2,0
France,Female,33.0,0.0,2,0
France,Male,29.0,0.0,1,0
France,Female,31.0,0.0,1,1
France,Male,27.0,132746.2,1,0
France,Male,33.0,0.0,2,0
France,Male,44.0,116622.73,1,0
France,Male,26.0,0.0,2,0
France,Female,35.0,0.0,2,0
France,Male,47.0,165438.26,1,1
France,Female,55.0,0.0,1,1
France,Female,73.0,0.0,1,1
France,Female,40.0,0.0,2,0
France,Male,35.0,0.0,2,0
France,Female,26.0,0.0,1,0
France,Female,19.0,0.0,2,0
France,Female,26.0,160549.33,1,1
France,Male,37.0,0.0,1,0
France,Male,24.0,0.0,2,0
France,Male,44.0,0.0,2,0
France,Female,44.0,0.0,1,0
France,Male,47.0,0.0,1,1
France,Female,29.0,116536.43,2,0
France,Male,36.0,0.0,2,0
France,Male,35.0,116932.59,1,1
France,Female,38.0,0.0,1,0
France,Male,37.0,0.0,2,0
France,Female,34.0,154251.67,2,0
France,Male,34.0,0.0,2,0
France,Female,40.0,0.0,1,1
France,Female,32.0,0.0,2,0
France,Male,28.0,0.0,1,0
France,Female,42.0,83888.54,1,0
France,Female,40.0,123401.43,1,1
France,Female,27.0,0.0,2,0
France,Female,27.0,0.0,2,0
France,Female,41.0,0.0,2,0
France,Male,48.0,127992.75,1,0
France,Female,50.0,113980.21,1,0
France,Female,47.0,0.0,2,0
France,Female,32.0,0.0,2,0
France,Female,37.0,127637.65,1,0
France,Male,32.0,0.0,2,0
France,Male,33.0,83442.98,1,0
France,Male,40.0,0.0,2,0
France,Female,27.0,142557.11,1,1
France,Female,44.0,136425.18,1,0
France,Male,35.0,0.0,2,0
France,Male,42.0,0.0,2,0
France,Male,37.0,0.0,2,0
France,Female,38.0,0.0,2,0
France,Female,44.0,0.0,1,1
France,Male,27.0,0.0,2,0
France,Female,37.0,0.0,2,1
France,Male,37.0,0.0,2,0
France,Female,30.0,0.0,2,0
France,Male,34.0,0.0,2,0
France,Female,41.0,0.0,2,0
France,Female,35.0,107944.33,1,0
France,Female,40.0,0.0,2,0
France,Male,32.0,141252.18,1,0
France,Female,38.0,118627.85,1,0
France,Female,36.0,144851.94,1,0
France,Male,38.0,0.0,2,0
France,Female,50.0,111096.89,1,0
France,Female,40.0,92476.88,1,1
France,Male,36.0,0.0,2,0
France,Male,36.0,139070.51,1,0
France,Female,20.0,0.0,2,1
France,Male,39.0,0.0,2,0
France,Female,34.0,139562.05,1,0
France,Male,39.0,0.0,2,0
France,Male,35.0,0.0,2,0
France,Male,37.0,0.0,2,0
France,Male,32.0,0.0,2,0
France,Male,32.0,145807.59,2,0
France,Male,28.0,0.0,2,0
France,Male,31.0,0.0,2,0
France,Male,21.0,0.0,2,0
France,Male,28.0,0.0,2,0
France,Male,44.0,0.0,2,0
France,Male,38.0,0.0,1,0
France,Female,46.0,0.0,1,0
France,Male,37.0,0.0,2,0
France,Female,43.0,0.0,2,0
France,Female,36.0,0.0,1,0
France,Male,30.0,64097.75,2,0
France,Male,41.0,0.0,2,0
France,Male,45.0,178820.91,1,0
France,Male,27.0,0.0,2,0
France,Male,38.0,136815.64,1,0
France,Female,31.0,112212.14,1,0
France,Male,59.0,0.0,1,0
France,Female,28.0,71902.52,1,0
France,Male,36.0,132739.26,2,1
France,Female,40.0,163548.07,1,1
France,Male,37.0,0.0,2,0
France,Female,35.0,0.0,2,0
France,Female,38.0,0.0,1,0
France,Male,33.0,0.0,2,0
France,Female,52.0,0.0,1,1
France,Female,44.0,119794.67,1,0
France,Male,54.0,130483.95,1,1
France,Female,53.0,0.0,2,1
France,Female,52.0,146857.71,1,1
France,Female,32.0,0.0,2,0
France,Male,33.0,0.0,2,0
France,Female,36.0,0.0,3,1
France,Male,42.0,0.0,2,0
France,Male,41.0,98400.61,1,1
France,Male,42.0,0.0,2,0
France,Female,37.0,85146.48,2,1
France,Male,34.0,0.0,2,0
France,Male,63.0,111096.97,1,1
France,Female,27.0,0.0,1,0
France,Male,47.0,0.0,2,0
France,Female,37.0,0.0,2,0
France,Male,25.0,0.0,1,0
France,Male,32.0,0.0,2,0
France,Male,25.0,0.0,2,0
France,Female,42.0,104760.82,1,0
France,Female,31.0,0.0,1,0
France,Female,41.0,0.0,2,0
France,Female,32.0,0.0,1,1
France,Female,38.0,0.0,2,0
France,Female,40.0,0.0,1,1
France,Female,48.0,0.0,1,0
France,Female,45.0,174852.73,1,0
France,Male,42.0,111855.04,1,0
France,Male,22.0,0.0,2,0
France,Female,37.0,0.0,1,0
France,Female,32.0,0.0,1,1
France,Female,32.0,0.0,2,0
France,Female,41.0,0.0,1,0
France,Female,31.0,102346.86,1,0
France,Male,30.0,99250.08,1,1
France,Female,30.0,70729.17,1,0
France,Male,34.0,128306.7,1,1
France,Female,36.0,0.0,2,0
France,Male,33.0,148659.48,1,0
France,Female,50.0,153546.24,1,1
France,Female,50.0,0.0,1,1
France,Female,41.0,0.0,1,1
France,Female,35.0,0.0,2,0
France,Female,38.0,0.0,2,0
France,Male,34.0,0.0,1,0
France,Male,35.0,0.0,1,0
France,Female,44.0,147972.19,1,1
France,Male,23.0,81947.76,1,0
France,Female,41.0,152105.57,2,0
France,Female,34.0,160515.37,1,1
France,Male,28.0,0.0,2,0
France,Male,38.0,0.0,2,0
France,Female,48.0,0.0,2,0
France,Female,25.0,0.0,2,0
France,Female,22.0,0.0,1,1
France,Male,32.0,0.0,2,0
France,Female,36.0,98308.51,1,0
France,Male,46.0,122220.19,1,0
France,Male,31.0,88421.81,1,0
France,Male,60.0,0.0,1,0
France,Female,41.0,0.0,2,0
France,Male,36.0,0.0,2,0
France,Male,40.0,0.0,1,1
France,Female,44.0,0.0,2,1
France,Male,41.0,126066.13,2,0
France,Male,25.0,0.0,2,0
France,Female,30.0,103895.31,1,0
France,Male,32.0,0.0,2,0
France,Male,34.0,0.0,2,0
France,Female,61.0,127343.28,1,0
France,Male,53.0,144453.75,1,1
France,Male,36.0,0.0,2,0
France,Female,46.0,0.0,1,1
France,Male,36.0,0.0,2,0
France,Male,32.0,121647.54,1,0
France,Male,37.0,122214.0,2,0
France,Female,37.0,0.0,2,0
France,Male,33.0,0.0,2,0
France,Female,27.0,0.0,2,0
France,Male,40.0,0.0,1,0
France,Male,49.0,0.0,2,0
France,Male,44.0,0.0,2,0
France,Male,33.0,0.0,1,0
France,Female,46.0,0.0,2,0
France,Male,33.0,0.0,2,0
France,Male,34.0,0.0,2,0
France,Male,33.0,191523.09,2,0
France,Female,37.0,0.0,2,0
France,Male,28.0,0.0,2,0
France,Male,43.0,155973.88,1,0
France,Female,41.0,171671.9,3,1
France,Male,32.0,0.0,2,0
France,Male,41.0,0.0,1,0
France,Female,35.0,0.0,2,0
France,Male,25.0,145396.49,1,0
France,Male,44.0,0.0,2,0
France,Male,31.0,0.0,2,0
France,Female,28.0,116781.7,1,0
France,Male,59.0,122781.51,1,1
France,Male,20.0,0.0,2,0
France,Male,33.0,0.0,1,0
France,Male,29.0,92887.13,1,0
France,Male,36.0,0.0,3,0
France,Male,41.0,0.0,2,0
France,Male,38.0,0.0,2,0
France,Female,31.0,0.0,1,0
France,Female,37.0,0.0,2,0
France,Male,34.0,0.0,2,0
France,Male,26.0,100476.42,1,0
France,Female,35.0,85626.6,1,0
France,Female,43.0,152341.55,1,1
France,Male,37.0,0.0,2,0
France,Male,37.0,170114.0,1,0
France,Female,31.0,0.0,2,0
France,Male,39.0,0.0,2,0
France,Male,55.0,99685.06,1,0
France,Male,34.0,0.0,2,0
France,Female,39.0,133707.09,1,0
France,Male,34.0,0.0,1,0
France,Male,35.0,141787.31,1,0
France,Female,41.0,0.0,2,0
France,Female,46.0,0.0,1,1
France,Female,36.0,0.0,2,0
France,Female,29.0,0.0,1,0
France,Male,26.0,0.0,2,0
France,Male,33.0,127510.99,1,0
France,Female,25.0,0.0,1,1
France,Female,38.0,0.0,2,0
France,Female,26.0,100762.64,2,0
France,Female,34.0,0.0,2,0
France,Male,33.0,120777.28,1,0
France,Male,26.0,0.0,2,0
France,Female,55.0,0.0,1,1
France,Male,47.0,0.0,2,0
France,Female,29.0,0.0,2,0
France,Male,40.0,0.0,1,0
France,Male,28.0,125889.13,1,0
France,Male,39.0,0.0,2,0
France,Male,30.0,0.0,2,0
France,Male,38.0,0.0,2,0
France,Male,25.0,0.0,1,0
France,Female,29.0,0.0,2,0
France,Male,63.0,99824.45,1,1
France,Female,47.0,0.0,2,0
France,Male,32.0,122889.88,1,0
France,Male,41.0,0.0,2,0
France,Female,25.0,0.0,1,1
France,Male,54.0,160736.05,2,1
France,Female,43.0,0.0,2,0
France,Male,38.0,0.0,2,0
France,Female,35.0,0.0,2,0
France,Male,47.0,0.0,1,1
France,Male,26.0,0.0,2,0
France,Male,34.0,119657.87,1,0
France,Female,21.0,0.0,2,0
France,Female,33.0,0.0,1,0
France,Male,33.0,0.0,2,0
France,Male,41.0,0.0,2,0
France,Male,43.0,0.0,4,1
France,Male,40.0,0.0,2,0
France,Male,39.0,104719.51,2,0
France,Male,24.0,148884.47,2,0
France,Male,28.0,0.0,2,0
France,Female,38.0,0.0,2,0
France,Female,27.0,0.0,2,0
France,Male,38.0,0.0,2,0
France,Male,46.0,0.0,2,0
France,Female,46.0,0.0,1,0
France,Female,33.0,0.0,2,0
France,Male,36.0,0.0,2,0
France,Male,34.0,0.0,1,0
France,Male,43.0,0.0,1,1
France,Male,20.0,0.0,2,0
France,Male,35.0,0.0,2,0
France,Male,29.0,0.0,2,0
France,Female,39.0,0.0,2,0
France,Male,45.0,129855.32,1,1
France,Male,31.0,0.0,1,0
France,Male,41.0,176845.41,1,1
France,Female,31.0,0.0,2,0
France,Male,42.0,109346.3,1,0
France,Female,19.0,0.0,2,1
France,Female,37.0,0.0,2,0
France,Male,43.0,0.0,2,0
France,Male,31.0,0.0,2,0
France,Male,35.0,0.0,2,0
France,Male,37.0,134249.7,1,0
France,Male,36.0,108546.16,3,0
France,Female,27.0,0.0,2,0
France,Male,35.0,0.0,2,0
France,Male,38.0,113657.41,1,0
France,Female,41.0,115221.36,1,0
France,Female,34.0,125437.95,1,0
France,Female,33.0,0.0,2,0
France,Female,39.0,114731.76,1,0
France,Male,48.0,65971.29,1,1
France,Male,37.0,0.0,2,0
France,Male,32.0,0.0,1,0
France,Female,42.0,0.0,2,0
France,Male,38.0,0.0,2,0
France,Male,30.0,120599.13,1,0
France,Male,24.0,0.0,1,0
France,Male,43.0,0.0,2,0
France,Male,48.0,0.0,1,1
France,Female,46.0,0.0,2,0
France,Female,36.0,0.0,2,0
France,Male,42.0,0.0,2,0
France,Male,39.0,123783.56,1,0
France,Male,21.0,0.0,2,0
France,Male,40.0,0.0,2,1
France,Female,42.0,53772.02,2,1
France,Male,35.0,156687.1,2,0
France,Female,40.0,148913.78,1,0
France,Female,37.0,0.0,1,0
France,Male,29.0,0.0,2,0
France,Male,38.0,0.0,1,0
France,Male,22.0,0.0,2,0
France,Male,39.0,0.0,2,0
France,Female,27.0,0.0,2,0
France,Female,36.0,0.0,2,0
France,Female,38.0,0.0,2,0
France,Male,34.0,0.0,1,0
France,Male,37.0,128173.31,1,0
France,Male,36.0,0.0,2,0
France,Male,38.0,0.0,2,0
France,Female,53.0,135851.6,1,1
France,Male,64.0,128131.73,1,0
France,Female,39.0,69517.94,1,0
France,Male,35.0,0.0,2,0
France,Male,29.0,0.0,2,0
France,Male,34.0,0.0,2,0
France,Female,75.0,161371.5,1,0
France,Male,24.0,0.0,2,0
France,Male,43.0,133237.21,1,0
France,Male,38.0,0.0,1,0
France,Female,25.0,54817.55,2,0
France,Male,29.0,0.0,2,0
France,Male,32.0,0.0,2,0
France,Female,36.0,0.0,2,0
France,Female,46.0,0.0,1,1
France,Male,36.0,0.0,2,0
France,Male,35.0,141763.58,1,0
France,Male,62.0,0.0,1,1
France,Male,34.0,0.0,2,0
France,Female,38.0,112262.84,1,0
France,Female,29.0,112383.03,1,1
France,Female,47.0,72664.0,2,0
France,Male,33.0,98775.22,1,0
France,Male,33.0,139994.03,2,0
France,Female,54.0,155739.76,1,0
France,Male,39.0,0.0,2,0
France,Female,30.0,0.0,1,1
France,Male,37.0,0.0,2,0
France,Male,47.0,114321.27,1,1
France,Male,25.0,0.0,2,0
France,Male,34.0,0.0,2,0
France,Female,26.0,0.0,2,0
France,Male,57.0,0.0,2,0
France,Male,30.0,115101.5,1,0
France,Male,32.0,0.0,2,0
France,Female,47.0,0.0,1,0
France,Female,28.0,0.0,2,0
France,Female,33.0,0.0,2,0
France,Male,41.0,0.0,1,0
France,Male,53.0,0.0,2,1
France,Female,39.0,138053.79,1,0
France,Female,34.0,0.0,2,0
France,Male,25.0,0.0,2,0
France,Male,38.0,0.0,2,0
France,Female,39.0,0.0,1,1
France,Male,56.0,0.0,2,0
France,Female,43.0,0.0,2,0
France,Female,34.0,0.0,1,0
France,Female,38.0,146798.81,1,0
France,Male,69.0,0.0,2,0
France,Female,27.0,0.0,2,0
France,Female,43.0,0.0,1,1
France,Female,40.0,0.0,1,1
France,Female,44.0,143350.61,1,0
France,Male,33.0,0.0,1,0
France,Female,48.0,0.0,1,1
France,Female,32.0,123067.63,1,0
France,Female,37.0,0.0,1,0
France,Female,39.0,0.0,2,0
France,Male,26.0,0.0,2,0
France,Male,28.0,130142.79,1,0
France,Male,40.0,129433.34,1,0
France,Female,27.0,0.0,2,0
France,Female,28.0,95059.02,2,0
France,Female,50.0,141203.58,1,1
France,Female,37.0,0.0,2,0
France,Female,36.0,93249.4,1,0
France,Female,34.0,158623.14,1,0
France,Male,48.0,0.0,2,0
France,Male,33.0,102945.01,1,1
France,Male,60.0,0.0,1,1
France,Male,65.0,0.0,2,0
France,Male,48.0,0.0,1,1
France,Male,29.0,0.0,2,0
France,Male,34.0,162318.61,1,0
France,Male,35.0,0.0,2,0
France,Female,30.0,0.0,1,1
France,Female,33.0,152367.21,1,0
France,Female,32.0,0.0,2,0
France,Male,35.0,165358.77,1,0
France,Male,41.0,0.0,1,0
France,Male,28.0,0.0,1,0
France,Male,57.0,0.0,2,0
France,Male,38.0,132673.52,1,0
France,Female,38.0,0.0,2,0
France,Male,29.0,108166.88,1,0
France,Male,23.0,61592.14,1,0
France,Male,44.0,0.0,1,1
France,Female,59.0,0.0,1,1
France,Male,43.0,137780.07,1,0
France,Male,35.0,0.0,2,0
France,Female,40.0,0.0,2,0
France,Male,41.0,0.0,2,0
France,Male,41.0,0.0,2,0
France,Male,39.0,139562.05,2,0
France,Male,27.0,0.0,2,0
France,Male,47.0,0.0,2,0
France,Female,46.0,0.0,2,0
France,Male,40.0,0.0,2,0
France,Female,36.0,0.0,2,0
France,Male,30.0,0.0,1,0
France,Female,38.0,0.0,2,0
France,Male,29.0,0.0,2,0
France,Male,33.0,0.0,2,0
France,Male,47.0,146053.66,1,1
France,Male,61.0,89111.63,1,0
France,Male,42.0,105239.1,1,0
France,Male,76.0,126076.24,1,0
France,Male,44.0,0.0,2,0
France,Female,41.0,0.0,2,0
France,Male,32.0,0.0,2,0
France,Male,26.0,0.0,2,0
France,Male,53.0,0.0,2,0
